Sample; LockDetected; TextDetected; TextScore; EncryptionDetected; Comment; TimedOut; Classified files
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/1b98a63c3fad25354a8b39246cfb8cd4534406f2f7c114e0521ed63993a16533.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/a512c3f92bee37ab817422ec3790610c11b1cfcea3c3aa2e66de176d9cf1d4ae.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/a1934f9fa55f4c0c9d13b4bd9b7ccc75980b95e2ec6c6ee9e77417ca6f8c9535.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/633dd7b46ce04a7b553cdda16a5ac23d459dc6bb73705a29453fd8d8ac99a9bc.apk; false; false; 0,000000; false; "Threat: 0,365148, Porn: 0,166667, Law: 0,000000, Copyright: 0,000000, Moneypak: 0,000000"; false; {copyright=[], law=[], moneypak=[], threat=[res/values/strings.xml], porn=[res/values/strings.xml]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/14d205b1d60c30a7c73dff904efac66f0e217ca169cbd39f76c1d3b08e2526ec.apk; false; false; 0,000000; false; "Threat: 0,000000, Porn: 0,000000, Law: 0,166667, Copyright: 0,000000, Moneypak: 0,158114"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/ee8f3ca388918b56dbcdd48badfd35eb25b3a5b3a1ab866469fcd82fd9757c9f.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/8fc3daf6fca20f9e0011766c2b15f46c1f541630e2a6d88f8d9c3c080d6c0d0f.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 0,925820, Law: 1,000000, Copyright: 0,640513, Moneypak: 0,816497"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/2d39b6edb0016bb5a2e32e9ecc003bde98f97f0b97f8597f8727d53fb52b1116.apk; false; true; 1,000000; false; "Threat: 0,670820, Porn: 0,745356, Law: 1,000000, Copyright: 1,000000, Moneypak: 0,948683"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/46620143c0272c2d93ad8dfd6f9acf9a8646089833228c3e0670e175d2165f6f.apk; false; false; 0,000000; false; "Threat: 0,000000, Porn: 0,000000, Law: 0,000000, Copyright: 0,000000, Moneypak: 0,000000"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/fbd0a743c9e20750f22ac90e99d96b337f1b33249647353675dd37d6587d479c.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 0,925820, Law: 1,000000, Copyright: 0,640513, Moneypak: 0,816497"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
